category,human_report_loc,question,vanilla_report_loc,kruppe_report_loc
Ad Agency Industry,/Users/danielliu/Workspace/fin-rag/experiments/human_report/Amazon’s Fastest-Rising and Most Profitable Segment Advertising.pdf.txt,"What are the key developments and financial projections for Amazon's advertising business, and how is it positioning itself in the digital ad market?",/Users/danielliu/Workspace/fin-rag/experiments/vanilla_report/Amazon Advertising Growth and Market Positioning.txt,/Users/danielliu/Workspace/fin-rag/experiments/kruppe_report/Amazon_Advertising_Business_Developments_And_Projections.txt
Ad Agency Industry,"/Users/danielliu/Workspace/fin-rag/experiments/human_report/Omnicom, Interpublic Can Weather Potential RFK Jr. Pharma-Ad Ban.pdf.txt",What impact would a potential ban on pharmaceutical advertising have on Omnicom and Interpublic's revenue?,/Users/danielliu/Workspace/fin-rag/experiments/vanilla_report/Impact of Pharmaceutical Advertising Ban on Omnicom and Interpublic Revenues.txt,/Users/danielliu/Workspace/fin-rag/experiments/kruppe_report/Impact_of_Potential_Ban_on_Pharmaceutical_Advertising_Revenue_for_Omnicom_and_Interpublic.txt
Ad Agency Industry,/Users/danielliu/Workspace/fin-rag/experiments/human_report/Ad-Spending Slowdown Creates 2025 Growth Clouds for Agencies.pdf.txt,What are the implications of the expected slowdown in global advertising spending for major advertising agencies in 2025?,/Users/danielliu/Workspace/fin-rag/experiments/vanilla_report/Implications of 2025 Global Advertising Spending Slowdown.txt,/Users/danielliu/Workspace/fin-rag/experiments/kruppe_report/Implications_of_Global_Advertising_Spending_Slowdown_2025_Report.txt
Ad Agency Industry,/Users/danielliu/Workspace/fin-rag/experiments/human_report/Amazon’s DSP Likely Adds to Trade Desk Woes Amid Kokai Slowdown.pdf.txt,How is Amazon's demand-side platform (DSP) impacting The Trade Desk's (TTD) growth and competitiveness in the connected-TV advertising market?,/Users/danielliu/Workspace/fin-rag/experiments/vanilla_report/Amazon DSP's Impact on The Trade Desk in CTV Advertising.txt,/Users/danielliu/Workspace/fin-rag/experiments/kruppe_report/Amazon DSP vs TTD in Connected TV Advertising Market.txt
Ad Agency Industry,/Users/danielliu/Workspace/fin-rag/experiments/human_report/Ad Agencies Braced for Muted Sales Gains on Pressured Budgets.pdf.txt,What is the outlook for organic sales growth in the advertising industry amid economic uncertainty?,/Users/danielliu/Workspace/fin-rag/experiments/vanilla_report/Outlook_for_Organic_Sales_Growth_in_Advertising_Industry.txt,/Users/danielliu/Workspace/fin-rag/experiments/kruppe_report/Outlook for Organic Sales Growth in Advertising Amid Economic Uncertainty.txt
NVDA,/Users/danielliu/Workspace/fin-rag/experiments/human_report/Deutsche Bank NVDA NVIDIA Corporation GTC 2025 Preview.pdf.txt,"What are the expectations and key topics for NVIDIA's annual GTC conference in 2025, particularly regarding AI and product innovations?",/Users/danielliu/Workspace/fin-rag/experiments/vanilla_report/NVIDIA_GTConference_2025_KeyTopics_Expectations.txt,/Users/danielliu/Workspace/fin-rag/experiments/kruppe_report/NVIDIA_GTC_2025_Expectations_Report.txt
NVDA,"/Users/danielliu/Workspace/fin-rag/experiments/human_report/Mizuho Securities CRDO DeepSeek Call #2 - Capex TRENDS wPre-Training, Post-Tra.pdf.txt","What are the current trends and future projections for capital expenditures in the semiconductor industry, particularly regarding GPU demand and the impact of tariffs?",/Users/danielliu/Workspace/fin-rag/experiments/vanilla_report/SemiconductorIndustryTrends2023_GPU_Demand_Tariffs_CapEx.txt,/Users/danielliu/Workspace/fin-rag/experiments/kruppe_report/Semiconductor_Capital_Expenditures_2023_Trends_Projections.txt
NVDA,/Users/danielliu/Workspace/fin-rag/experiments/human_report/JP Morgan NVDA NVIDIA Corporation Solid ResultsGuide on Continued Str.pdf.txt,What are the financial prospects and investment potential of NVIDIA Corporation in light of its recent performance and market dynamics?,/Users/danielliu/Workspace/fin-rag/experiments/vanilla_report/NVIDIA_Investment_Potential_AAI_and_Growth_Analysis.txt,/Users/danielliu/Workspace/fin-rag/experiments/kruppe_report/NVIDIA_Financial_Prospects_Investment_Potential_Report.txt
NVDA,/Users/danielliu/Workspace/fin-rag/experiments/human_report/AI Infrastructure Spending Resilient Despite Market Pullback.pdf.txt,What is the current state and outlook of the AI semiconductor and hardware market amidst valuation changes and external economic pressures?,/Users/danielliu/Workspace/fin-rag/experiments/vanilla_report/AI_Semiconductor_Market_Outlook_October_2023.txt,/Users/danielliu/Workspace/fin-rag/experiments/kruppe_report/AI Semiconductor Market Outlook Amid Geopolitical Tensions and Economic Pressures.txt
NVDA,/Users/danielliu/Workspace/fin-rag/experiments/human_report/Wells Fargo NVDA NVDA NVDA GTC 2025 Can't Come Fast Enough—A Quick Rev.pdf.txt,What are the key factors influencing NVIDIA Corporation's stock performance and investment outlook ahead of its GTC 2025 event?,/Users/danielliu/Workspace/fin-rag/experiments/vanilla_report/NVIDIA_Stock_Outlook_GTC_2025_Factors_Influencing_Performance.txt,/Users/danielliu/Workspace/fin-rag/experiments/kruppe_report/NVIDIA_Stock_Performance_Outlook_GTC_2025.txt
